energy,danceability,tempo,valence,loudness,acousticness,speechiness,popularity
0.652,0.75,125.008,0.0383,-9.402,0.00918,0.0558,46
0.564,0.898,117.992,0.435,-9.207,0.463,0.121,62
0.387,0.631,103.11,0.832,-11.529,0.742,0.0262,63
0.346,0.38,117.916,0.358,-14.313,0.648,0.0417,0
0.675,0.779,91.006,0.63,-4.976,0.138,0.0485,1
0.915,0.767,93.984,0.897,-3.734,0.104,0.306,29
0.408,0.757,115.96,0.309,-10.889,0.325,0.0373,0
0.84,0.541,137.04,0.91,-10.416,0.146,0.0338,39
0.315,0.602,80.07,0.281,-15.164,0.662,0.0296,49
0.857,0.667,149.926,0.912,-2.636,0.172,0.053,40
0.532,0.855,102.941,0.877,-5.119,0.0154,0.0592,38
0.935,0.596,136.696,0.902,-11.499,0.000868,0.0549,5
0.382,0.381,104.286,0.0945,-12.715,0.0316,0.0345,19
0.338,0.627,104.168,0.799,-13.848,0.58,0.0304,20
0.913,0.702,137.981,0.735,-2.977,0.0514,0.0374,69
0.284,0.493,79.959,0.199,-12.815,0.953,0.0309,60
0.969,0.768,142.954,0.707,-4.345,0.16,0.116,0
0.44,0.755,107.036,0.151,-11.7,0.202,0.0475,63
0.934,0.508,130.012,0.698,-9.577,9.31e-05,0.0504,48
0.876,0.647,151.925,0.949,-5.662,0.881,0.185,0
0.537,0.747,103.9,0.869,-8.2,0.583,0.0423,0
0.444,0.724,129.962,0.739,-4.903,0.0121,0.0412,65
0.53,0.727,96.032,0.803,-11.556,0.534,0.0384,26
0.922,0.332,170.098,0.175,-9.228,0.000153,0.0645,20
0.578,0.672,113.945,0.548,-6.621,0.469,0.0569,73
0.56,0.709,170.082,0.541,-4.867,0.034,0.171,2
0.623,0.698,102.002,0.625,-7.845,0.623,0.037,71
0.472,0.559,129.945,0.305,-6.814,0.583,0.0299,0
0.753,0.483,115.102,0.42,-8.937,0.425,0.0832,76
0.777,0.601,119.963,0.485,-4.612,0.269,0.0471,0
0.75,0.419,145.867,0.436,-3.546,0.011,0.0316,32
0.576,0.687,170.052,0.439,-5.095,0.163,0.328,19
0.422,0.403,122.728,0.378,-13.964,0.134,0.0373,81
0.652,0.472,140.124,0.401,-10.171,0.0131,0.0305,73
0.677,0.635,95.005,0.49,-6.457,0.103,0.023,34
0.8,0.264,155.558,0.465,-2.427,0.0195,0.0537,64
0.678,0.705,120.042,0.691,-8.644,0.0483,0.0415,61
0.228,0.426,147.994,0.0822,-10.552,0.198,0.0322,72
0.748,0.73,155.861,0.694,-4.371,0.0936,0.152,70
0.736,0.755,106.777,0.953,-9.594,0.657,0.107,55
0.0617,0.796,96.44,0.166,-22.034,0.768,0.0754,65
0.801,0.609,122.958,0.202,-8.483,0.0246,0.0694,73
0.735,0.334,82.471,0.525,-10.697,0.366,0.0741,20
0.835,0.219,133.719,0.0753,-5.58,0.0166,0.0456,26
0.995,0.455,146.004,0.295,-4.646,0.000508,0.104,28
0.673,0.848,93.987,0.39,-4.034,0.0147,0.058,82
0.68,0.703,97.985,0.536,-6.118,0.0171,0.0431,74
0.588,0.739,109.958,0.774,-4.971,0.00308,0.136,70
0.933,0.512,92.998,0.465,-4.759,0.000761,0.0738,64
0.908,0.874,125.981,0.905,-3.573,0.00839,0.0593,64
0.428,0.68,98.222,0.334,-8.107,0.376,0.135,78
0.817,0.766,125.033,0.43,-4.253,0.0239,0.035,75
0.347,0.607,125.485,0.644,-12.241,0.695,0.0369,59
0.431,0.718,139.618,0.324,-8.736,0.132,0.0314,68
0.592,0.726,113.896,0.895,-14.705,0.00152,0.0437,26
0.556,0.888,126.008,0.45,-8.38,0.00758,0.186,65
0.394,0.601,124.002,0.261,-6.419,0.917,0.0619,22
0.855,0.753,131.913,0.671,-5.2,0.0483,0.0442,24
0.946,0.332,153.091,0.303,-6.233,0.000275,0.127,56
0.841,0.615,126.026,0.316,-5.352,0.0178,0.0416,63
0.73,0.529,131.861,0.565,-4.683,0.451,0.0674,42
0.487,0.655,139.914,0.0454,-7.988,0.0347,0.033,71
0.341,0.331,109.821,0.152,-6.057,0.528,0.0309,78
0.649,0.607,102.996,0.505,-6.695,0.0306,0.0362,75
0.445,0.61,81.995,0.26,-7.836,0.684,0.0989,28
